ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_month,list_date,delist_date,last_ddate
CJ2609.ZCE,CJ609,CZCE,红枣2609,CJ,,吨,5.0,人民币元/吨,5人民币元/吨,202609,2025-09-15,2026-09-14,20260917
FU2602.SHF,FU2602,SHFE,燃油2602,FU,,吨,10.0,人民币元/吨,1人民币元/吨,202602,2025-02-05,2026-01-30,20260203
UR2610.ZCE,UR610,CZCE,尿素2610,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202610,2025-10-23,2026-10-21,20261026
FG2606.ZCE,FG606,CZCE,玻璃2606,FG,,吨,20.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-12,20260617
BU2611.SHF,BU2611,SHFE,沥青2611,BU,,吨,10.0,人民币元/吨,1人民币元/吨,202611,2025-11-18,2026-11-16,20261118
RU2611.SHF,RU2611,SHFE,橡胶2611,RU,,吨,10.0,人民币元/吨,5人民币元/吨,202611,2025-11-18,2026-11-16,20261118
EB2609.DCE,EB2609,DCE,苯乙烯2609,EB,,吨,5.0,人民币元/吨,1人民币元/吨,202609,2025-09-26,2026-09-24,20260930
SS2606.SHF,SS2606,SHFE,不锈钢2606,SS,,吨,5.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-15,20260617
RB2701.SHF,RB2701,SHFE,螺纹钢2701,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-16,2027-01-15,20270119
BU2701.SHF,BU2701,SHFE,沥青2701,BU,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-16,2027-01-15,20270119
PL2701.ZCE,PL701,CZCE,丙烯2701,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-14,20270119
SH2609.ZCE,SH609,CZCE,烧碱2609,SH,,吨,30.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
LC2602.GFE,LC2602,GFEX,碳酸锂2602,LC,,吨,1.0,人民币元/吨,20人民币元/吨,202602,2025-02-19,2026-02-13,20260226
FB2608.DCE,FB2608,DCE,纤维板2608,FB,,立方米,10.0,人民币元/立方米,0.5人民币元/立方米,202608,2025-08-15,2026-08-14,20260819
NI2604.SHF,NI2604,SHFE,沪镍2604,NI,,吨,1.0,人民币元/吨,10人民币元/吨,202604,2025-04-16,2026-04-15,20260417
LC2612.GFE,LC2612,GFEX,碳酸锂2612,LC,,吨,1.0,人民币元/吨,20人民币元/吨,202612,2025-12-15,2026-12-14,20261217
FU2609.SHF,FU2609,SHFE,燃油2609,FU,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-01,2026-08-31,20260902
LU2609.INE,LU2609,INE,低硫燃料油2609,LU,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-01,2026-08-31,20260907
SC2809.INE,SC2809,INE,原油2809,SC,,桶,1000.0,人民币元/桶,0.1人民币元/桶,202809,2025-09-01,2028-08-31,20280907
SP2612.SHF,SP2612,SHFE,纸浆2612,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202612,2025-12-16,2026-12-15,20261217
RU2610.SHF,RU2610,SHFE,橡胶2610,RU,,吨,10.0,人民币元/吨,5人民币元/吨,202610,2025-10-16,2026-10-15,20261019
L2701.DCE,L2701,DCE,塑料2701,L,,吨,5.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-15,20270120
